,#oID,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,126,49.5510204,50.08108108108108,0.5,21.95945945945946,7.405405405405405,0.17567567567567569,2.1621621621621623,4.554054054054054,4.662162162162162,5.45945945945946,1.554054054054054,4.094594594594595,2.4864864864864864,7.216216216216216,1.3918918918918919,2.554054054054054,4.675675675675675,0.8918918918918919,1.662162162162162,8.094594594594595,15.283783783783784
1,126,24.6530612,50.08108108108108,0.5,21.95945945945946,7.405405405405405,0.17567567567567569,2.1621621621621623,4.554054054054054,4.662162162162162,5.45945945945946,1.554054054054054,4.094594594594595,2.4864864864864864,7.216216216216216,1.3918918918918919,2.554054054054054,4.675675675675675,0.8918918918918919,1.662162162162162,8.094594594594595,15.283783783783784
2,176,11.5510204,45.3448275862069,2.2758620689655173,5.103448275862069,1.1379310344827587,0.0,6.448275862068965,5.9655172413793105,4.793103448275862,13.517241379310345,3.2758620689655173,3.896551724137931,5.448275862068965,6.448275862068965,3.5517241379310347,3.2758620689655173,4.275862068965517,2.413793103448276,2.4827586206896552,6.724137931034483,7.724137931034483
3,176,4.55102041,45.3448275862069,2.2758620689655173,5.103448275862069,1.1379310344827587,0.0,6.448275862068965,5.9655172413793105,4.793103448275862,13.517241379310345,3.2758620689655173,3.896551724137931,5.448275862068965,6.448275862068965,3.5517241379310347,3.2758620689655173,4.275862068965517,2.413793103448276,2.4827586206896552,6.724137931034483,7.724137931034483
4,177,33.2653061,48.41818181818182,9.363636363636363,19.78181818181818,3.0,0.7636363636363637,1.2545454545454546,2.4727272727272727,6.709090909090909,8.8,1.1090909090909091,3.5636363636363635,3.2181818181818183,6.218181818181818,1.9454545454545455,2.727272727272727,3.8727272727272726,0.7272727272727273,3.4545454545454546,4.090909090909091,14.2
5,177,11.5102041,48.41818181818182,9.363636363636363,19.78181818181818,3.0,0.7636363636363637,1.2545454545454546,2.4727272727272727,6.709090909090909,8.8,1.1090909090909091,3.5636363636363635,3.2181818181818183,6.218181818181818,1.9454545454545455,2.727272727272727,3.8727272727272726,0.7272727272727273,3.4545454545454546,4.090909090909091,14.2
6,196,22.1836735,44.30434782608695,1.3043478260869565,9.804347826086957,0.9130434782608695,0.5,3.239130434782609,7.108695652173913,2.152173913043478,11.152173913043478,2.8260869565217392,5.543478260869565,6.695652173913044,9.043478260869565,7.304347826086956,2.152173913043478,4.217391304347826,1.1956521739130435,1.5434782608695652,6.695652173913044,7.8478260869565215
7,196,6.87755102,44.30434782608695,1.3043478260869565,9.804347826086957,0.9130434782608695,0.5,3.239130434782609,7.108695652173913,2.152173913043478,11.152173913043478,2.8260869565217392,5.543478260869565,6.695652173913044,9.043478260869565,7.304347826086956,2.152173913043478,4.217391304347826,1.1956521739130435,1.5434782608695652,6.695652173913044,7.8478260869565215
8,239,28.2040816,51.724137931034484,1.3620689655172413,13.5,4.293103448275862,1.4827586206896552,4.5344827586206895,6.189655172413793,4.9655172413793105,9.241379310344827,3.9482758620689653,3.2413793103448274,5.068965517241379,6.5344827586206895,0.7931034482758621,0.9310344827586207,5.413793103448276,3.1206896551724137,5.775862068965517,9.39655172413793,10.862068965517242
9,239,21.1632653,51.724137931034484,1.3620689655172413,13.5,4.293103448275862,1.4827586206896552,4.5344827586206895,6.189655172413793,4.9655172413793105,9.241379310344827,3.9482758620689653,3.2413793103448274,5.068965517241379,6.5344827586206895,0.7931034482758621,0.9310344827586207,5.413793103448276,3.1206896551724137,5.775862068965517,9.39655172413793,10.862068965517242
