,#oID,individual,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,126,25,49.5510204,49.46511627906977,0.6744186046511628,25.953488372093023,6.5813953488372094,0.3023255813953488,1.7209302325581395,3.9069767441860463,4.116279069767442,7.4186046511627906,1.697674418604651,3.046511627906977,0.7906976744186046,8.023255813953488,1.6046511627906976,1.2093023255813953,5.069767441860465,1.3488372093023255,1.441860465116279,9.906976744186046,14.813953488372093
1,126,25,24.6530612,49.46511627906977,0.6744186046511628,25.953488372093023,6.5813953488372094,0.3023255813953488,1.7209302325581395,3.9069767441860463,4.116279069767442,7.4186046511627906,1.697674418604651,3.046511627906977,0.7906976744186046,8.023255813953488,1.6046511627906976,1.2093023255813953,5.069767441860465,1.3488372093023255,1.441860465116279,9.906976744186046,14.813953488372093
2,176,25,11.5510204,45.94444444444444,3.6666666666666665,8.166666666666666,1.7777777777777777,0.0,10.38888888888889,6.055555555555555,7.666666666666667,21.72222222222222,4.444444444444445,4.166666666666667,6.111111111111111,8.666666666666666,2.1666666666666665,5.222222222222222,4.388888888888889,2.611111111111111,2.1666666666666665,5.944444444444445,4.222222222222222
3,176,25,4.55102041,45.94444444444444,3.6666666666666665,8.166666666666666,1.7777777777777777,0.0,10.38888888888889,6.055555555555555,7.666666666666667,21.72222222222222,4.444444444444445,4.166666666666667,6.111111111111111,8.666666666666666,2.1666666666666665,5.222222222222222,4.388888888888889,2.611111111111111,2.1666666666666665,5.944444444444445,4.222222222222222
4,177,25,33.2653061,45.14705882352941,9.411764705882353,22.441176470588236,1.6764705882352942,0.0,0.7058823529411765,2.735294117647059,7.735294117647059,11.676470588235293,0.7941176470588235,4.970588235294118,4.470588235294118,3.823529411764706,2.176470588235294,4.235294117647059,3.5588235294117645,1.1470588235294117,4.470588235294118,2.4411764705882355,18.794117647058822
5,177,25,11.5102041,45.14705882352941,9.411764705882353,22.441176470588236,1.6764705882352942,0.0,0.7058823529411765,2.735294117647059,7.735294117647059,11.676470588235293,0.7941176470588235,4.970588235294118,4.470588235294118,3.823529411764706,2.176470588235294,4.235294117647059,3.5588235294117645,1.1470588235294117,4.470588235294118,2.4411764705882355,18.794117647058822
6,196,25,22.1836735,51.0,2.0,15.0,1.5,0.0,2.1785714285714284,7.035714285714286,3.107142857142857,7.107142857142857,4.214285714285714,3.6785714285714284,7.642857142857143,7.75,6.964285714285714,3.1785714285714284,5.071428571428571,1.3571428571428572,2.5357142857142856,11.0,7.392857142857143
7,196,25,6.87755102,51.0,2.0,15.0,1.5,0.0,2.1785714285714284,7.035714285714286,3.107142857142857,7.107142857142857,4.214285714285714,3.6785714285714284,7.642857142857143,7.75,6.964285714285714,3.1785714285714284,5.071428571428571,1.3571428571428572,2.5357142857142856,11.0,7.392857142857143
8,239,25,28.2040816,51.411764705882355,0.7352941176470589,8.705882352941176,2.5588235294117645,1.088235294117647,2.5588235294117645,2.6176470588235294,7.823529411764706,7.9411764705882355,3.7941176470588234,4.235294117647059,4.264705882352941,4.705882352941177,0.5882352941176471,0.20588235294117646,3.6176470588235294,5.323529411764706,7.470588235294118,6.294117647058823,11.411764705882353
9,239,25,21.1632653,51.411764705882355,0.7352941176470589,8.705882352941176,2.5588235294117645,1.088235294117647,2.5588235294117645,2.6176470588235294,7.823529411764706,7.9411764705882355,3.7941176470588234,4.235294117647059,4.264705882352941,4.705882352941177,0.5882352941176471,0.20588235294117646,3.6176470588235294,5.323529411764706,7.470588235294118,6.294117647058823,11.411764705882353
