#oID,individual,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,25,24.6530612245,49.4651162791,0.674418604651,25.9534883721,6.58139534884,0.302325581395,1.72093023256,3.90697674419,4.11627906977,7.41860465116,1.6976744186,3.04651162791,0.790697674419,8.02325581395,1.60465116279,1.20930232558,5.06976744186,1.3488372093,1.44186046512,9.90697674419,14.8139534884
176,25,,45.9444444444,3.66666666667,8.16666666667,1.77777777778,0.0,10.3888888889,6.05555555556,7.66666666667,21.7222222222,4.44444444444,4.16666666667,6.11111111111,8.66666666667,2.16666666667,5.22222222222,4.38888888889,2.61111111111,2.16666666667,5.94444444444,4.22222222222
177,25,33.2653061224,45.1470588235,9.41176470588,22.4411764706,1.67647058824,0.0,0.705882352941,2.73529411765,7.73529411765,11.6764705882,0.794117647059,4.97058823529,4.47058823529,3.82352941176,2.17647058824,4.23529411765,3.55882352941,1.14705882353,4.47058823529,2.44117647059,18.7941176471
196,25,6.87755102041,51.0,2.0,15.0,1.5,0.0,2.17857142857,7.03571428571,3.10714285714,7.10714285714,4.21428571429,3.67857142857,7.64285714286,7.75,6.96428571429,3.17857142857,5.07142857143,1.35714285714,2.53571428571,11.0,7.39285714286
239,25,21.1632653061,51.4117647059,0.735294117647,8.70588235294,2.55882352941,1.08823529412,2.55882352941,2.61764705882,7.82352941176,7.94117647059,3.79411764706,4.23529411765,4.26470588235,4.70588235294,0.588235294118,0.205882352941,3.61764705882,5.32352941176,7.47058823529,6.29411764706,11.4117647059
240,25,77.4897959184,61.8775510204,17.4081632653,43.2653061224,28.4897959184,0.408163265306,0.0204081632653,6.36734693878,5.55102040816,2.85714285714,0.448979591837,2.30612244898,6.67346938776,3.32653061224,0.0816326530612,3.08163265306,0.224489795918,0.224489795918,1.75510204082,13.5510204082,19.5918367347
241,25,5.67346938776,45.5294117647,3.29411764706,7.35294117647,0.529411764706,0.0,2.0,4.0,1.05882352941,4.64705882353,8.11764705882,2.41176470588,1.23529411765,14.1176470588,6.29411764706,4.64705882353,0.647058823529,0.0,0.882352941176,4.0,27.5882352941
243,25,16.6326530612,31.8260869565,3.65217391304,2.52173913043,0.869565217391,2.47826086957,4.21739130435,5.73913043478,4.0,18.6956521739,9.39130434783,4.08695652174,8.95652173913,9.60869565217,8.86956521739,3.47826086957,9.78260869565,1.95652173913,1.34782608696,3.91304347826,9.65217391304
244,25,40.0816326531,46.5833333333,1.0625,22.375,13.6666666667,2.33333333333,2.10416666667,6.60416666667,7.85416666667,3.3125,2.6875,10.6458333333,4.625,6.52083333333,0.895833333333,6.25,4.85416666667,1.47916666667,0.0208333333333,7.125,32.75
261,25,81.7142857143,18.2708333333,0.958333333333,0.979166666667,0.145833333333,3.77083333333,5.27083333333,6.0625,1.16666666667,23.8125,8.27083333333,10.9583333333,4.70833333333,21.3541666667,10.9583333333,13.25,15.1875,1.35416666667,1.70833333333,0.958333333333,20.3958333333
