#oID,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,37.1020408163,50.0810810811,0.5,21.9594594595,7.40540540541,0.175675675676,2.16216216216,4.55405405405,4.66216216216,5.45945945946,1.55405405405,4.09459459459,2.48648648649,7.21621621622,1.39189189189,2.55405405405,4.67567567568,0.891891891892,1.66216216216,8.09459459459,15.2837837838
176,8.05102040816,45.3448275862,2.27586206897,5.10344827586,1.13793103448,0.0,6.44827586207,5.96551724138,4.79310344828,13.5172413793,3.27586206897,3.89655172414,5.44827586207,6.44827586207,3.55172413793,3.27586206897,4.27586206897,2.41379310345,2.48275862069,6.72413793103,7.72413793103
177,22.387755102,48.4181818182,9.36363636364,19.7818181818,3.0,0.763636363636,1.25454545455,2.47272727273,6.70909090909,8.8,1.10909090909,3.56363636364,3.21818181818,6.21818181818,1.94545454545,2.72727272727,3.87272727273,0.727272727273,3.45454545455,4.09090909091,14.2
196,14.5306122449,44.3043478261,1.30434782609,9.80434782609,0.913043478261,0.5,3.23913043478,7.10869565217,2.15217391304,11.152173913,2.82608695652,5.54347826087,6.69565217391,9.04347826087,7.30434782609,2.15217391304,4.21739130435,1.19565217391,1.54347826087,6.69565217391,7.84782608696
239,24.6836734694,51.724137931,1.36206896552,13.5,4.29310344828,1.48275862069,4.53448275862,6.18965517241,4.96551724138,9.24137931034,3.94827586207,3.24137931034,5.06896551724,6.53448275862,0.793103448276,0.931034482759,5.41379310345,3.12068965517,5.77586206897,9.39655172414,10.8620689655
240,46.8673469388,62.1830985915,14.1408450704,39.5492957746,26.8732394366,0.591549295775,0.859154929577,4.45070422535,5.08450704225,3.04225352113,0.366197183099,1.70422535211,7.97183098592,4.18309859155,0.281690140845,2.70422535211,1.15492957746,0.183098591549,2.6338028169,11.3521126761,17.0281690141
241,6.90816326531,43.3870967742,2.67741935484,5.64516129032,0.290322580645,2.70967741935,4.25806451613,5.51612903226,2.58064516129,7.48387096774,7.41935483871,2.38709677419,6.25806451613,12.9677419355,7.35483870968,4.32258064516,0.645161290323,2.67741935484,2.74193548387,2.1935483871,16.5483870968
243,15.1530612245,43.9019607843,1.90196078431,10.2745098039,3.03921568627,1.6862745098,2.64705882353,5.39215686275,2.0,11.1176470588,6.0,4.78431372549,6.07843137255,9.19607843137,4.88235294118,4.43137254902,4.45098039216,1.78431372549,2.58823529412,7.41176470588,8.45098039216
244,55.806122449,50.3777777778,2.7,21.4444444444,10.7555555556,1.24444444444,1.28888888889,6.94444444444,7.41111111111,3.67777777778,3.03333333333,7.18888888889,5.14444444444,4.68888888889,0.855555555556,5.42222222222,3.58888888889,1.5,0.655555555556,5.52222222222,25.6
261,62.1020408163,23.3720930233,1.98837209302,2.36046511628,1.23255813953,2.26744186047,4.91860465116,6.72093023256,1.43023255814,19.0697674419,7.83720930233,10.9186046512,7.01162790698,22.1162790698,11.1744186047,10.8023255814,11.6860465116,1.91860465116,0.96511627907,1.37209302326,17.5348837209
263,7.32653061224,44.8125,4.65625,6.375,1.40625,0.0,2.40625,7.875,1.03125,12.5,1.875,5.75,6.46875,6.59375,1.96875,0.59375,2.53125,1.28125,7.3125,5.53125,4.3125
311,10.0714285714,50.7428571429,4.2,17.7714285714,0.342857142857,1.54285714286,3.17142857143,4.11428571429,7.68571428571,15.4285714286,2.94285714286,5.11428571429,6.48571428571,8.02857142857,1.6,3.0,1.14285714286,4.74285714286,1.6,2.65714285714,10.4857142857
325,40.0714285714,34.2923076923,1.70769230769,4.96923076923,0.907692307692,5.50769230769,3.32307692308,18.8,4.95384615385,4.95384615385,6.53846153846,12.3230769231,5.46153846154,7.47692307692,4.12307692308,8.26153846154,6.13846153846,3.52307692308,3.87692307692,2.58461538462,17.9230769231
